Base_Price,Season,Day_Type,Local_Event,Room_Type,Competitor_Demand,Optimal_Price
129.05,Summer,Weekday,No,Standard,Medium,154.55
141.02,Winter,Weekday,No,Suite,High,251.5
198.18,Autumn,Weekend,No,Standard,High,276.63
121.0,Autumn,Weekend,No,Standard,Low,135.72
200.45,Spring,Weekend,No,Standard,Low,205.3
83.22,Spring,Weekday,No,Suite,Low,105.83
186.52,Spring,Weekday,No,Suite,Medium,261.26
197.13,Winter,Weekend,No,Standard,Medium,278.79
97.27,Autumn,Weekday,Yes,Standard,Medium,136.31
134.55,Autumn,Weekday,No,Standard,Low,132.5
94.82,Spring,Weekday,Yes,Standard,Low,110.95
175.99,Winter,Weekend,Yes,Standard,Medium,292.04
150.3,Winter,Weekend,No,Standard,Medium,216.84
165.3,Spring,Weekday,Yes,Standard,Low,192.26
99.47,Spring,Weekend,No,Standard,Medium,119.92
101.76,Spring,Weekend,No,Standard,Low,101.49
76.22,Summer,Weekday,No,Standard,High,100.95
118.31,Summer,Weekday,No,Standard,High,162.48
153.96,Summer,Weekend,Yes,Standard,Low,226.12
198.69,Summer,Weekday,No,Suite,Low,281.11
170.04,Autumn,Weekday,No,Standard,Medium,191.2
135.31,Spring,Weekday,No,Standard,Low,122.86
212.97,Summer,Weekend,No,Standard,Medium,285.37
177.89,Summer,Weekend,Yes,Standard,High,310.71
209.52,Summer,Weekend,No,Standard,Medium,276.86
149.14,Winter,Weekday,No,Standard,High,216.9
108.84,Spring,Weekend,No,Suite,Medium,166.04
77.92,Summer,Weekend,No,Standard,Low,95.61
178.91,Autumn,Weekday,No,Standard,Medium,197.09
88.2,Spring,Weekend,No,Standard,Medium,108.52
115.42,Autumn,Weekday,Yes,Standard,Medium,161.97
149.87,Spring,Weekday,No,Standard,Low,139.42
154.66,Spring,Weekday,No,Suite,Low,192.44
160.09,Winter,Weekday,No,Standard,High,228.33
94.94,Winter,Weekday,No,Standard,Low,101.6
126.96,Winter,Weekday,No,Standard,High,179.27
162.58,Summer,Weekday,Yes,Standard,High,267.5
215.47,Spring,Weekend,Yes,Suite,High,421.2
179.14,Autumn,Weekday,No,Standard,Medium,202.49
208.39,Summer,Weekday,No,Standard,Medium,252.42
184.33,Spring,Weekday,No,Standard,High,227.46
158.76,Summer,Weekend,No,Suite,Low,244.57
98.8,Spring,Weekday,No,Standard,Medium,97.42
170.0,Winter,Weekday,Yes,Standard,Medium,263.23
163.51,Summer,Weekend,No,Standard,Medium,220.64
160.37,Autumn,Weekday,No,Standard,Medium,186.03
143.47,Summer,Weekday,Yes,Standard,Medium,207.95
149.3,Summer,Weekday,No,Standard,Medium,170.93
120.17,Summer,Weekend,No,Standard,High,180.17
147.9,Spring,Weekday,Yes,Standard,Low,174.21
99.63,Winter,Weekend,No,Standard,High,146.67
190.78,Winter,Weekday,No,Standard,Medium,240.28
97.87,Winter,Weekend,Yes,Standard,High,186.21
82.74,Winter,Weekend,No,Standard,Medium,114.61
135.44,Autumn,Weekend,No,Standard,High,191.19
168.75,Winter,Weekday,No,Suite,Low,245.46
135.66,Spring,Weekend,No,Standard,High,173.42
111.51,Spring,Weekday,No,Standard,Low,101.91
153.73,Spring,Weekday,No,Standard,High,186.49
122.05,Summer,Weekday,No,Suite,High,208.33
209.93,Summer,Weekend,Yes,Standard,Low,301.84
208.4,Summer,Weekend,No,Standard,Low,249.05
145.36,Winter,Weekend,No,Standard,High,223.25
119.18,Summer,Weekday,No,Standard,Low,122.47
180.57,Summer,Weekday,Yes,Standard,High,294.47
75.51,Summer,Weekend,No,Standard,Low,82.06
141.22,Spring,Weekday,No,Standard,Low,121.72
120.45,Winter,Weekday,No,Suite,High,216.15
208.08,Spring,Weekday,Yes,Standard,Medium,278.77
71.8,Winter,Weekday,No,Standard,High,101.73
152.92,Winter,Weekday,No,Standard,Medium,190.16
181.1,Spring,Weekday,No,Standard,Medium,192.76
142.75,Spring,Weekday,No,Standard,Medium,153.12
82.81,Winter,Weekday,No,Standard,Medium,99.61
215.87,Autumn,Weekend,No,Standard,Medium,266.88
147.7,Autumn,Weekday,No,Suite,Medium,221.21
162.13,Winter,Weekday,No,Suite,Medium,269.98
105.49,Spring,Weekday,No,Standard,Low,95.37
142.52,Summer,Weekday,No,Standard,High,198.28
134.37,Spring,Weekend,No,Suite,Low,179.12
81.23,Winter,Weekend,Yes,Standard,Medium,136.67
85.92,Autumn,Weekday,Yes,Suite,Low,131.68
195.62,Summer,Weekday,No,Standard,Medium,241.84
105.97,Spring,Weekend,No,Standard,Medium,126.17
99.24,Summer,Weekend,No,Standard,Low,123.38
145.74,Summer,Weekday,No,Standard,Low,152.44
185.31,Autumn,Weekday,Yes,Standard,Low,228.59
79.29,Autumn,Weekday,No,Standard,Medium,88.48
156.52,Winter,Weekend,No,Standard,High,240.41
87.88,Summer,Weekday,No,Standard,Low,93.3
75.47,Spring,Weekend,No,Standard,Medium,87.18
77.91,Autumn,Weekday,No,Suite,Medium,115.25
195.12,Winter,Weekday,No,Standard,Medium,249.5
87.7,Autumn,Weekday,No,Suite,High,143.04
76.77,Winter,Weekday,No,Standard,Medium,98.6
135.68,Summer,Weekday,No,Standard,Medium,170.08
196.6,Summer,Weekday,No,Suite,Low,282.87
109.36,Summer,Weekday,No,Standard,Low,112.81
133.26,Spring,Weekend,No,Standard,Low,142.07
75.99,Spring,Weekday,No,Standard,Low,65.17
137.36,Spring,Weekday,No,Standard,Medium,150.7
156.64,Autumn,Weekend,No,Standard,Medium,198.28
155.64,Summer,Weekend,Yes,Suite,Medium,295.85
119.86,Summer,Weekend,No,Standard,Low,143.01
117.33,Winter,Weekend,No,Standard,Low,143.62
85.99,Spring,Weekday,No,Standard,Medium,89.83
125.02,Summer,Weekday,No,Standard,High,176.68
84.92,Winter,Weekend,No,Standard,Low,102.69
184.99,Spring,Weekday,No,Standard,High,222.46
214.94,Spring,Weekday,No,Standard,Medium,232.44
215.51,Summer,Weekend,Yes,Standard,Medium,347.56
199.76,Spring,Weekday,No,Standard,Medium,215.17
160.12,Winter,Weekday,Yes,Standard,Low,224.03
175.13,Winter,Weekday,No,Standard,Low,198.27
112.78,Autumn,Weekday,No,Standard,Medium,118.73
164.62,Winter,Weekday,Yes,Suite,Medium,307.37
138.35,Winter,Weekday,No,Standard,High,194.21
142.3,Spring,Weekend,No,Standard,Medium,172.68
183.67,Winter,Weekday,Yes,Standard,Low,241.13
112.29,Summer,Weekday,No,Standard,Medium,148.31
117.71,Winter,Weekend,No,Standard,Low,148.08
208.7,Winter,Weekend,No,Standard,Medium,292.78
78.43,Summer,Weekend,No,Standard,Medium,110.61
142.85,Spring,Weekend,No,Standard,High,200.79
206.92,Spring,Weekday,No,Standard,High,255.93
161.55,Summer,Weekday,No,Standard,Medium,202.5
151.96,Winter,Weekday,No,Standard,Medium,195.03
107.46,Winter,Weekday,Yes,Standard,High,178.89
121.49,Spring,Weekday,No,Suite,Low,152.39
197.81,Summer,Weekday,No,Suite,Low,277.59
153.88,Summer,Weekend,Yes,Suite,Low,272.7
147.21,Spring,Weekday,Yes,Suite,Low,218.36
84.94,Spring,Weekday,No,Suite,Medium,121.16
72.4,Summer,Weekday,No,Standard,Medium,82.31
214.55,Winter,Weekday,No,Standard,Medium,275.39
126.55,Summer,Weekday,No,Standard,Low,135.26
160.48,Summer,Weekend,Yes,Standard,Medium,257.36
81.96,Autumn,Weekday,No,Standard,Medium,90.53
172.47,Summer,Weekday,Yes,Standard,Medium,267.56
209.89,Winter,Weekday,No,Standard,Medium,274.1
156.35,Winter,Weekend,No,Standard,Medium,213.91
88.92,Summer,Weekday,No,Suite,Low,127.2
157.26,Summer,Weekday,No,Standard,Low,165.84
184.95,Summer,Weekday,No,Standard,High,249.32
130.96,Summer,Weekday,No,Standard,High,174.05
201.98,Spring,Weekend,No,Standard,Medium,244.1
167.3,Autumn,Weekend,No,Suite,Low,238.19
204.89,Summer,Weekday,No,Standard,Medium,255.89
163.53,Spring,Weekend,No,Suite,Medium,257.45
89.69,Summer,Weekend,No,Standard,High,139.13
116.45,Winter,Weekend,No,Standard,Low,140.99
100.27,Spring,Weekend,Yes,Standard,Low,131.25
206.32,Spring,Weekday,No,Standard,Medium,225.36
184.06,Summer,Weekday,No,Standard,Medium,224.5
171.46,Winter,Weekday,Yes,Standard,Low,231.81
115.14,Spring,Weekend,No,Standard,Low,126.18
97.61,Autumn,Weekday,Yes,Suite,Medium,169.78
183.47,Winter,Weekend,No,Standard,High,285.09
141.12,Spring,Weekend,No,Suite,High,235.2
103.87,Autumn,Weekday,No,Standard,Medium,112.5
162.49,Summer,Weekend,No,Standard,Medium,217.08
76.05,Autumn,Weekday,No,Standard,Low,73.27
